context,family,version,resource,priority,response_time,status,date,timestamp
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:50:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:51:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:52:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:53:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:50:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:51:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:52:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:53:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id},MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:50:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:51:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:52:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:53:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/transactions,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:50:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:51:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:52:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:53:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts/{id}/balances,MEDIUM,1000,500,2022-02-17,2022-02-17T13:55:36Z
