date,context,family,version,resource,status,response_time,timestamp
2021-05-11,open-banking,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:50:00Z
2021-05-11,open-banking,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:51:00Z
2021-05-11,open-banking,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:52:00Z
2021-05-11,open-banking,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:53:00Z
2021-05-11,open-banking,accounts,v1,/accounts/{id}/balances,500,112,2022-01-17T13:54:00Z
2021-05-11,open-banking,loans,v1,/contracts,200,112,2022-01-17T13:50:00Z
2021-05-11,open-banking,loans,v1,/contracts,200,112,2022-01-17T13:51:00Z
2021-05-11,open-banking,loans,v1,/contracts,200,112,2022-01-17T13:52:00Z
2021-05-11,open-banking,loans,v1,/contracts,200,112,2022-01-17T13:53:00Z
2021-05-11,open-banking,loans,v1,/contracts,500,112,2022-01-17T13:54:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:50:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:51:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:52:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:53:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts,500,112,2022-01-17T13:54:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts/{id},200,112,2022-01-17T13:50:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts/{id},200,112,2022-01-17T13:51:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts/{id},500,112,2022-01-17T13:52:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts/{id},200,112,2022-01-17T13:53:00Z
2021-05-11,open-banking,credit-cards-accounts,v1,/accounts/{id},500,112,2022-01-17T13:54:00Z
2021-05-11,open-insurance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:50:00Z
2021-05-11,open-insurance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:51:00Z
2021-05-11,open-insurance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:52:00Z
2021-05-11,open-insurance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:53:00Z
2021-05-11,open-insurance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:54:00Z
2021-05-11,open-insurance,loans,v1,/contracts,200,112,2022-01-17T13:50:00Z
2021-05-11,open-insurance,loans,v1,/contracts,200,112,2022-01-17T13:51:00Z
2021-05-11,open-insurance,loans,v1,/contracts,200,112,2022-01-17T13:52:00Z
2021-05-11,open-insurance,loans,v1,/contracts,200,112,2022-01-17T13:53:00Z
2021-05-11,open-insurance,loans,v1,/contracts,200,112,2022-01-17T13:54:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:50:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:51:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:52:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:53:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts,200,112,2022-01-17T13:54:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts/{id},200,112,2022-01-17T13:50:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts/{id},200,112,2022-01-17T13:51:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts/{id},500,112,2022-01-17T13:52:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts/{id},200,112,2022-01-17T13:53:00Z
2021-05-11,open-insurance,credit-cards-accounts,v1,/accounts/{id},200,112,2022-01-17T13:54:00Z
2021-05-11,open-finance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:50:00Z
2021-05-11,open-finance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:51:00Z
2021-05-11,open-finance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:52:00Z
2021-05-11,open-finance,accounts,v1,/accounts/{id}/balances,200,112,2022-01-17T13:53:00Z
